account_number,meter_id,service_address,billing_period_start,billing_period_end,consumption_kwh,demand_kw,amount,currency,tariff_code
ACC-4421,MET-001,Hauptstrasse 12 Hamburg,15.01.2024,17.02.2024,18420,42.5,3684.00,EUR,HV-ToU
ACC-4421,MET-001,Hauptstrasse 12 Hamburg,18.02.2024,18.03.2024,16890,40.1,3378.00,EUR,HV-ToU
ACC-4421,MET-001,Hauptstrasse 12 Hamburg,19.03.2024,18.04.2024,17210,39.7,3442.00,EUR,HV-ToU
ACC-4421,MET-002,Hauptstrasse 12 Hamburg,01.01.2024,31.01.2024,5240,18.2,1048.00,EUR,LV-Flat
ACC-4421,MET-002,Hauptstrasse 12 Hamburg,01.02.2024,29.02.2024,4985,17.8,997.00,EUR,LV-Flat
ACC-4421,MET-002,Hauptstrasse 12 Hamburg,01.03.2024,31.03.2024,5125,18.0,1025.00,EUR,LV-Flat
ACC-7701,MET-IN01,Pune Industrial Estate Plot 14,01.01.2024,31.01.2024,31200,95.0,249600.00,INR,HT-1
ACC-7701,MET-IN01,Pune Industrial Estate Plot 14,01.02.2024,29.02.2024,29850,92.4,238800.00,INR,HT-1
ACC-7701,MET-IN01,Pune Industrial Estate Plot 14,01.03.2024,31.03.2024,30510,93.1,244080.00,INR,HT-1
ACC-4421,MET-003,Lagerstrasse 5 Berlin,01.02.2024,29.02.2024,9870,31.0,1974.00,EUR,UNKNOWN-X
ACC-4421,MET-003,Lagerstrasse 5 Berlin,01.03.2024,31.03.2024,10050,31.5,2010.00,EUR,UNKNOWN-X
ACC-4421,MET-004,Frankfurter Allee 7 Berlin,10.04.2024,13.04.2024,420,2.8,84.00,EUR,LT-1
ACC-4421,MET-005,Hamburg HQ,01.05.2024,31.05.2024,0,0.0,0.00,EUR,LV-Flat
ACC-4421,MET-002,Hauptstrasse 12 Hamburg,01.01.2024,30.04.2024,55120,19.8,11024.00,EUR,HV-ToU
ACC-7702,MET-IN02,Pune Industrial Estate Plot 2,15.02.2024,17.03.2024,14200,56.0,113600.00,INR,HT-2
